mattn/go-colorable,https://github.com/mattn/go-colorable/blob/master/LICENSE,MIT License,,YES
mattn/go-isatty,https://github.com/mattn/go-isatty/blob/master/LICENSE,MIT License,,YES
mattn/go-runewidth,https://github.com/mattn/go-runewidth/blob/master/LICENSE,MIT License,,YES
matttproud/golang_protobuf_extensions,https://github.com/matttproud/golang_protobuf_extensions/blob/master/LICENSE,Apache License 2.0,,YES
miekg/dns,https://github.com/miekg/dns/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
mitchellh/cli,https://github.com/mitchellh/cli/blob/master/LICENSE,Mozilla Public License 2.0,,YES
mitchellh/go-homedir,https://github.com/mitchellh/go-homedir/blob/master/LICENSE,MIT License,,YES
mitchellh/go-testing-interface,https://github.com/mitchellh/go-testing-interface/blob/master/LICENSE,MIT License,,YES
mitchellh/gox,https://github.com/mitchellh/gox/blob/master/LICENSE,Mozilla Public License 2.0,,YES
mitchellh/iochan,https://github.com/mitchellh/iochan/blob/master/LICENSE.md,MIT License,,YES
mitchellh/mapstructure,https://github.com/mitchellh/mapstructure/blob/master/LICENSE,MIT License,,YES
modern-go/concurrent,https://github.com/modern-go/concurrent/blob/master/LICENSE,Apache License 2.0,,YES
modern-go/reflect2,https://github.com/modern-go/reflect2/blob/master/LICENSE,Apache License 2.0,,YES
munnerz/goautoneg,https://github.com/munnerz/goautoneg/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
mwitkow/go-conntrack,https://github.com/mwitkow/go-conntrack/blob/master/LICENSE,Apache License 2.0,,YES
mxk/go-flowrate,https://github.com/mxk/go-flowrate/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
nats-io/jwt,https://github.com/nats-io/jwt/blob/master/LICENSE,Apache License 2.0,,YES
nats-io/nats-server,https://github.com/nats-io/nats-server/blob/master/LICENSE,Apache License 2.0,,YES
nats-io/nats.go,https://github.com/nats-io/nats.go/blob/master/LICENSE,Apache License 2.0,,YES
nats-io/nkeys,https://github.com/nats-io/nkeys/blob/master/LICENSE,Apache License 2.0,,YES
nats-io/nuid,https://github.com/nats-io/nuid/blob/master/LICENSE,Apache License 2.0,,YES
nxadm/tail,https://github.com/nxadm/tail/blob/master/LICENSE,MIT License,,YES
oklog/oklog,https://github.com/oklog/oklog/blob/master/LICENSE,Apache License 2.0,,YES
oklog/run,https://github.com/oklog/run/blob/master/LICENSE,Apache License 2.0,,YES
olekukonko/tablewriter,https://github.com/olekukonko/tablewriter/blob/master/LICENSE.md,MIT License,,YES
onsi/ginkgo,https://github.com/onsi/ginkgo/blob/master/LICENSE,MIT License,,YES
onsi/gomega,https://github.com/onsi/gomega/blob/master/LICENSE,MIT License,,YES
op/go-logging,https://github.com/op/go-logging/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
opentracing-contrib/go-observer,https://github.com/opentracing-contrib/go-observer/blob/master/LICENSE,Apache License 2.0,,YES
opentracing/basictracer-go,https://github.com/opentracing/basictracer-go/blob/master/LICENSE,Apache License 2.0,,YES
opentracing/opentracing-go,https://github.com/opentracing/opentracing-go/blob/master/LICENSE,Apache License 2.0,,YES
openzipkin-contrib/zipkin-go-opentracing,https://github.com/openzipkin-contrib/zipkin-go-opentracing/blob/master/LICENSE,Apache License 2.0,,YES
openzipkin/zipkin-go,https://github.com/openzipkin/zipkin-go/blob/master/LICENSE,Apache License 2.0,,YES
pact-foundation/pact-go,https://github.com/pact-foundation/pact-go/blob/master/LICENSE,MIT License,,YES
pascaldekloe/goe,https://github.com/pascaldekloe/goe/blob/master/LICENSE,CC0 1.0 Universal,,YES
pborman/uuid,https://github.com/pborman/uuid/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,,YES
